2025-12-26 19:09:34.352459 | ARBUSDT | 5m
2025-12-26 19:09:34.773440 | ARBUSDT | 15m
2025-12-26 19:09:35.175079 | ARBUSDT | 30m
2025-12-26 19:09:35.567764 | ARBUSDT | 1h
2025-12-26 19:13:38.464194 | BTCUSDT | 5m
2025-12-26 19:13:38.870400 | BTCUSDT | 15m
2025-12-26 19:13:39.266417 | BTCUSDT | 30m
2025-12-26 19:13:39.647888 | BTCUSDT | 1h
2025-12-26 19:13:40.056164 | ETHUSDT | 5m
2025-12-26 19:13:40.436007 | ETHUSDT | 15m
2025-12-26 19:13:40.832358 | ETHUSDT | 30m
2025-12-26 19:13:41.235685 | ETHUSDT | 1h
2025-12-26 19:13:41.641287 | SOLUSDT | 5m
2025-12-26 19:13:42.036722 | SOLUSDT | 15m
2025-12-26 19:13:42.416846 | SOLUSDT | 30m
2025-12-26 19:13:42.804614 | SOLUSDT | 1h
2025-12-26 19:13:43.235163 | BNBUSDT | 5m
2025-12-26 19:13:43.615166 | BNBUSDT | 15m
2025-12-26 19:13:44.020129 | BNBUSDT | 30m
2025-12-26 19:13:44.433762 | BNBUSDT | 1h
2025-12-26 19:13:44.827123 | XRPUSDT | 5m
2025-12-26 19:13:45.234136 | XRPUSDT | 15m
2025-12-26 19:13:45.638569 | XRPUSDT | 30m
2025-12-26 19:13:46.048842 | XRPUSDT | 1h
2025-12-26 19:13:46.454782 | ADAUSDT | 5m
2025-12-26 19:13:46.848806 | ADAUSDT | 15m
2025-12-26 19:13:47.234911 | ADAUSDT | 30m
2025-12-26 19:13:47.623708 | ADAUSDT | 1h
2025-12-26 19:13:48.034345 | AVAXUSDT | 5m
2025-12-26 19:13:48.439986 | AVAXUSDT | 15m
2025-12-26 19:13:48.823360 | AVAXUSDT | 30m
2025-12-26 19:13:49.205395 | AVAXUSDT | 1h
2025-12-26 19:13:49.593131 | LINKUSDT | 5m
2025-12-26 19:13:50.011902 | LINKUSDT | 15m
2025-12-26 19:13:50.405884 | LINKUSDT | 30m
2025-12-26 19:13:50.794743 | LINKUSDT | 1h
2025-12-26 19:13:51.190286 | OPUSDT | 5m
2025-12-26 19:13:51.612921 | OPUSDT | 15m
2025-12-26 19:13:51.998609 | OPUSDT | 30m
2025-12-26 19:13:52.383368 | OPUSDT | 1h
2025-12-26 19:13:52.772785 | ARBUSDT | 5m
2025-12-26 19:13:53.167215 | ARBUSDT | 15m
2025-12-26 19:13:53.553700 | ARBUSDT | 30m
2025-12-26 19:13:53.933994 | ARBUSDT | 1h
2025-12-26 19:14:36.675027 | BTCUSDT | 5m
2025-12-26 19:14:37.084537 | BTCUSDT | 15m
2025-12-26 19:14:37.483493 | BTCUSDT | 30m
2025-12-26 19:14:37.869419 | BTCUSDT | 1h
2025-12-26 19:14:38.266356 | ETHUSDT | 5m
2025-12-26 19:14:38.717768 | ETHUSDT | 15m
2025-12-26 19:14:39.115545 | ETHUSDT | 30m
2025-12-26 19:14:39.526380 | ETHUSDT | 1h
2025-12-26 19:14:39.940334 | SOLUSDT | 5m
2025-12-26 19:14:40.333562 | SOLUSDT | 15m
2025-12-26 19:14:40.748553 | SOLUSDT | 30m
2025-12-26 19:14:41.149357 | SOLUSDT | 1h
2025-12-26 19:14:41.555792 | BNBUSDT | 5m
2025-12-26 19:14:41.965244 | BNBUSDT | 15m
2025-12-26 19:14:42.358097 | BNBUSDT | 30m
2025-12-26 19:14:42.770334 | BNBUSDT | 1h
2025-12-26 19:14:43.150383 | XRPUSDT | 5m
2025-12-26 19:14:43.535827 | XRPUSDT | 15m
2025-12-26 19:14:43.938836 | XRPUSDT | 30m
2025-12-26 19:14:44.335648 | XRPUSDT | 1h
2025-12-26 19:14:44.718999 | ADAUSDT | 5m
2025-12-26 19:14:45.123024 | ADAUSDT | 15m
2025-12-26 19:14:45.578765 | ADAUSDT | 30m
2025-12-26 19:14:45.977078 | ADAUSDT | 1h
2025-12-26 19:14:46.375924 | AVAXUSDT | 5m
2025-12-26 19:14:46.784354 | AVAXUSDT | 15m
2025-12-26 19:14:47.167284 | AVAXUSDT | 30m
2025-12-26 19:14:47.574475 | AVAXUSDT | 1h
2025-12-26 19:14:47.985381 | LINKUSDT | 5m
2025-12-26 19:14:48.387442 | LINKUSDT | 15m
2025-12-26 19:14:48.781915 | LINKUSDT | 30m
2025-12-26 19:14:49.184622 | LINKUSDT | 1h
2025-12-26 19:14:49.575748 | OPUSDT | 5m
2025-12-26 19:14:49.982229 | OPUSDT | 15m
2025-12-26 19:14:50.383881 | OPUSDT | 30m
2025-12-26 19:14:50.785101 | OPUSDT | 1h
2025-12-26 19:14:51.195713 | ARBUSDT | 5m
2025-12-26 19:14:51.593278 | ARBUSDT | 15m
2025-12-26 19:14:51.974428 | ARBUSDT | 30m
2025-12-26 19:14:52.436001 | ARBUSDT | 1h
2025-12-26 19:18:55.125187 | BTCUSDT | 5m
2025-12-26 19:18:55.523520 | BTCUSDT | 15m
2025-12-26 19:18:55.923742 | BTCUSDT | 30m
2025-12-26 19:18:56.324249 | BTCUSDT | 1h
2025-12-26 19:18:56.719746 | ETHUSDT | 5m
2025-12-26 19:18:57.114259 | ETHUSDT | 15m
2025-12-26 19:18:57.504487 | ETHUSDT | 30m
2025-12-26 19:18:57.912181 | ETHUSDT | 1h
2025-12-26 19:18:58.641083 | SOLUSDT | 5m
2025-12-26 19:18:59.053563 | SOLUSDT | 15m
2025-12-26 19:18:59.450029 | SOLUSDT | 30m
2025-12-26 19:18:59.842456 | SOLUSDT | 1h
2025-12-26 19:19:00.241239 | BNBUSDT | 5m
2025-12-26 19:19:00.650854 | BNBUSDT | 15m
2025-12-26 19:19:01.052852 | BNBUSDT | 30m
2025-12-26 19:19:01.449435 | BNBUSDT | 1h
2025-12-26 19:19:01.908088 | XRPUSDT | 5m
2025-12-26 19:19:02.315267 | XRPUSDT | 15m
2025-12-26 19:19:02.706718 | XRPUSDT | 30m
2025-12-26 19:19:03.115787 | XRPUSDT | 1h
2025-12-26 19:19:03.529845 | ADAUSDT | 5m
2025-12-26 19:19:03.942400 | ADAUSDT | 15m
2025-12-26 19:19:04.349638 | ADAUSDT | 30m
2025-12-26 19:19:04.752837 | ADAUSDT | 1h
2025-12-26 19:19:05.152334 | AVAXUSDT | 5m
2025-12-26 19:19:05.546134 | AVAXUSDT | 15m
2025-12-26 19:19:05.954042 | AVAXUSDT | 30m
2025-12-26 19:19:06.366761 | AVAXUSDT | 1h
2025-12-26 19:19:06.754012 | LINKUSDT | 5m
2025-12-26 19:19:07.159774 | LINKUSDT | 15m
2025-12-26 19:19:07.553855 | LINKUSDT | 30m
2025-12-26 19:19:07.958919 | LINKUSDT | 1h
2025-12-26 19:19:08.376013 | OPUSDT | 5m
2025-12-26 19:19:08.800466 | OPUSDT | 15m
2025-12-26 19:19:09.200752 | OPUSDT | 30m
2025-12-26 19:19:09.602700 | OPUSDT | 1h
2025-12-26 19:19:10.014606 | ARBUSDT | 5m
2025-12-26 19:19:10.398489 | ARBUSDT | 15m
2025-12-26 19:19:10.790583 | ARBUSDT | 30m
2025-12-26 19:19:11.186794 | ARBUSDT | 1h
2025-12-26 19:19:53.577424 | BTCUSDT | 5m
2025-12-26 19:19:53.971647 | BTCUSDT | 15m
2025-12-26 19:19:54.365869 | BTCUSDT | 30m
2025-12-26 19:19:54.816005 | BTCUSDT | 1h
2025-12-26 19:19:55.526099 | ETHUSDT | 5m
